valuta,variabel,haeldning
AUD,olie,-0.02894830279283506
AUD,momentum,0.008887602951250137
AUD,afvigelse,0.0037242400139375713
AUD,usrente,0.003706407630370738
CAD,olie,-0.026481613471179468
CAD,momentum,0.01845781268695991
CAD,afvigelse,0.012279207305439153
CAD,usrente,0.0014146171244048078
CHF,olie,-0.01359864513731678
CHF,momentum,0.004436849372492195
CHF,afvigelse,-0.008973373617027814
CHF,usrente,0.006937846215241301
JPY,olie,-0.003415848924586692
JPY,momentum,0.03194455603833718
JPY,afvigelse,0.005149119233949232
JPY,usrente,0.016586683909951726
NOK,olie,-0.04111693394552568
NOK,momentum,0.006446114403983388
NOK,afvigelse,0.00305008802298428
NOK,usrente,0.003604907757972104
