valuta,model,n,r2_vs_random_walk_pct,r2_vs_gennemsnit_pct,retning_pct,retning_reference_pct
AUD,olie,332,0.31,0.72,50.0,51.5
AUD,momentum,332,-1.09,-0.68,52.7,51.5
AUD,afvigelse,332,-1.4,-0.99,48.5,51.5
AUD,usrente,332,-0.66,-0.25,50.9,51.5
AUD,alle fire,332,-1.28,-0.87,53.6,51.5
CAD,olie,332,1.8,2.18,54.8,50.3
CAD,momentum,332,-1.23,-0.84,52.4,50.3
CAD,afvigelse,332,-0.63,-0.24,55.7,50.3
CAD,usrente,332,-0.79,-0.4,49.1,50.3
CAD,alle fire,332,-0.19,0.19,51.5,50.3
CHF,olie,332,-0.38,-0.28,51.2,50.9
CHF,momentum,332,-0.95,-0.85,52.1,50.9
CHF,afvigelse,332,-0.88,-0.77,49.4,50.9
CHF,usrente,332,-1.71,-1.6,51.2,50.9
CHF,alle fire,332,-4.12,-4.01,48.8,50.9
JPY,olie,332,-3.07,-2.39,45.5,53.9
JPY,momentum,332,0.87,1.53,59.0,53.9
JPY,afvigelse,332,-1.27,-0.6,48.8,53.9
JPY,usrente,332,0.59,1.25,52.7,53.9
JPY,alle fire,332,-1.93,-1.26,51.5,53.9
NOK,olie,332,1.45,1.59,53.9,52.1
NOK,momentum,332,-0.64,-0.49,50.9,52.1
NOK,afvigelse,332,-0.93,-0.78,47.6,52.1
NOK,usrente,332,-1.0,-0.85,49.1,52.1
NOK,alle fire,332,-0.84,-0.69,50.0,52.1
